year,state,state_po,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population
1988,OKLAHOMA,OK,"DUKAKIS, MICHAEL",483423,"BUSH, GEORGE H.W.",678367,9246,1171036,REPUBLICAN,0,8,8,3167.057
1988,OREGON,OR,"DUKAKIS, MICHAEL",616206,"BUSH, GEORGE H.W.",560126,25362,1201694,DEMOCRAT,7,0,7,2741.297
1988,PENNSYLVANIA,PA,"DUKAKIS, MICHAEL",2194944,"BUSH, GEORGE H.W.",2300087,41220,4536251,REPUBLICAN,0,25,25,11845.752
1988,RHODE ISLAND,RI,"DUKAKIS, MICHAEL",225123,"BUSH, GEORGE H.W.",177761,1738,404622,DEMOCRAT,4,0,4,996.408
1988,SOUTH CAROLINA,SC,"DUKAKIS, MICHAEL",370554,"BUSH, GEORGE H.W.",606443,9012,986009,REPUBLICAN,0,8,8,3412.096
1988,SOUTH DAKOTA,SD,"DUKAKIS, MICHAEL",145560,"BUSH, GEORGE H.W.",165415,2016,312991,REPUBLICAN,0,3,3,698.165
1988,TENNESSEE,TN,"DUKAKIS, MICHAEL",679794,"BUSH, GEORGE H.W.",947233,9223,1636250,REPUBLICAN,0,11,11,4822.437
1988,TEXAS,TX,"DUKAKIS, MICHAEL",2352748,"BUSH, GEORGE H.W.",3036829,37833,5427410,REPUBLICAN,0,29,29,16667.022
1988,UTAH,UT,"DUKAKIS, MICHAEL",207343,"BUSH, GEORGE H.W.",428442,11223,647008,REPUBLICAN,0,5,5,1689.372
1988,VERMONT,VT,"DUKAKIS, MICHAEL",115775,"BUSH, GEORGE H.W.",124331,3222,243328,REPUBLICAN,0,3,3,549.763
1988,VIRGINIA,VA,"DUKAKIS, MICHAEL",859799,"BUSH, GEORGE H.W.",1309162,22648,2191609,REPUBLICAN,0,12,12,6036.909
1988,WASHINGTON,WA,"DUKAKIS, MICHAEL",933516,"BUSH, GEORGE H.W.",903835,27902,1865253,DEMOCRAT,10,0,10,4639.893
1988,WEST VIRGINIA,WV,"DUKAKIS, MICHAEL",341016,"BUSH, GEORGE H.W.",310065,2230,653311,DEMOCRAT,6,0,6,1830.215
1988,WISCONSIN,WI,"DUKAKIS, MICHAEL",1126794,"BUSH, GEORGE H.W.",1047499,17315,2191608,DEMOCRAT,11,0,11,4822.388
1988,WYOMING,WY,"DUKAKIS, MICHAEL",67113,"BUSH, GEORGE H.W.",106867,2571,176551,REPUBLICAN,0,3,3,465.101
1992,ALABAMA,AL,"CLINTON, BILL",690080,"BUSH, GEORGE H.W.",804283,193697,1688060,REPUBLICAN,0,9,9,4139.269
1992,ALASKA,AK,"CLINTON, BILL",78294,"BUSH, GEORGE H.W.",102000,78212,258506,REPUBLICAN,0,3,3,587.073
1992,ARIZONA,AZ,"CLINTON, BILL",543050,"BUSH, GEORGE H.W.",572086,371839,1486975,REPUBLICAN,0,8,8,3867.333
1992,ARKANSAS,AR,"CLINTON, BILL",505823,"BUSH, GEORGE H.W.",337324,107506,950653,DEMOCRAT,6,0,6,2394.098
1992,CALIFORNIA,CA,"CLINTON, BILL",5121325,"BUSH, GEORGE H.W.",3630574,2379822,11131721,DEMOCRAT,54,0,54,30875.92
1992,COLORADO,CO,"CLINTON, BILL",629681,"BUSH, GEORGE H.W.",562850,376649,1569180,DEMOCRAT,8,0,8,3459.995
1992,CONNECTICUT,CT,"CLINTON, BILL",682318,"BUSH, GEORGE H.W.",578313,355525,1616156,DEMOCRAT,8,0,8,3274.997
